ELLIPSOID_CODE,ELLIPSOID_NAME,SEMI_MAJOR_AXIS,SEMI_MINOR_AXIS,FLATTENING,INV_FLATTENING,FIRST_ECCENTRICITY,SECOND_ECCENTRICITY
7019,GRS 1980,6378137.0000000000,6356752.3141403600,0.0033528107,298.2572221010,0.0818191910,0.0820944382
7030,WGS 84,6378137.0000000000,6356752.3142451800,0.0033528107,298.2572235630,0.0818191908,0.0820944379
